character_id,eidolon,eidolon_name,description
acheron,1,Silenced Sky Spake Sooth,"When dealing DMG to debuffed enemies, increases CRIT Rate by 18%."
acheron,2,Mute Thunder in Still Tempest,"The number of Nihility characters required for the Trace ""The Abyss"" to achieve its highest possible effect is reduced by 1. When this unit's turn starts, gains 1 point of Slashed Dream and inflicts 1 stack of Crimson Knot on the enemy with the most Crimson Knot stacks."
acheron,3,Frost Bites in Death,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
acheron,4,Shrined Fire for Mirrored Soul,"When enemy targets enter combat, inflicts them with the Ultimate DMG Vulnerability, increasing the amount of Ultimate DMG they take by 8%."
acheron,5,Strewn Souls on Erased Earths,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
acheron,6,"Apocalypse, the Emancipator","Increases the All-Type RES PEN for the Ultimate DMG dealt by Acheron by 20%. The DMG dealt by Basic ATK and Skill will also be considered as Ultimate DMG and can Reduce enemy Toughness regardless of Weakness Types. When breaking Weaknesses, triggers the Lightning Weakness Break effect."
aglaea,1,Drift at the Whim of Venus,"The enemy afflicted with ""Seam Stitch"" takes 15% increased DMG. After Aglaea or Garmentmaker attacks this target, additionally regenerates 20 Energy."
aglaea,2,Sail on the Raft of Eyelids,"When Aglaea or Garmentmaker takes action, enables the DMG dealt by Aglaea and Garmentmaker to ignore 14% of the target's DEF. This effect stacks up to 3 time(s) and lasts until any unit, other than Aglaea or Garmentmaker, actively uses an ability."
aglaea,3,Bequeath in the Coalescence of Dew,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10. Memosprite Talent Lv. +1, up to a maximum of Lv. 10."
aglaea,4,Flicker Below the Surface of Marble,"The SPD Boost effect from the Memosprite Talent has its max stack limit increased by 1. After Aglaea uses an attack, can also make Garmentmaker gain the SPD Boost effect from the Memosprite Talent."
aglaea,5,Weave Under the Shroud of Woe,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15. Memosprite Skill Lv. +1, up to a maximum of Lv. 10."
aglaea,6,Fluctuate in the Tapestry of Fates,"While Aglaea is in ""Supreme Stance,"" increases her and Garmentmaker's Lightning RES PEN by 20%. When Aglaea's or Garmentmaker's SPD is greater than 160/240/320, the Joint ATK DMG dealt by them increases by 10%/30%/60%."
anaxa,1,"Magician, Isolated by Stars","After using Skill for the first time, recovers 1 Skill Point(s). When using Skill to hit enemy targets, decreases the targets' DEF by 16%, lasting for 2 turn(s)."
anaxa,2,"Soul, True to History","When enemy targets enter the battlefield, triggers 1 instance of the Talent's Weakness Implant effect, and reduces their All-Type RES by 20%."
anaxa,3,"Pupil, Etched into Cosmos","Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
anaxa,4,"Blaze, Plunged to Canyon","When using Skill, increases ATK by 30%, lasting for 2 turn(s). This effect can stack up to 2 time(s)."
anaxa,5,"Embryo, Set Beyond Vortex","Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
anaxa,6,Everything Is in Everything,"The DMG dealt by Anaxa is 130% of the original DMG. The 2 effects in the Trace ""Imperative Hiatus"" will be triggered directly and will no longer depend on the number of ""Erudition"" characters in the team."
archer,1,The Unreached Dream,"After using Skill 3 time(s) within one turn, recovers 2 Skill Point(s) for allies."
archer,2,The Unfulfilled Happiness,"When using Ultimate, reduces the enemy target's Quantum RES by 20%, and applies Quantum Weakness to it, lasting for 2 turn(s)."
archer,3,The Untamed Will,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
archer,4,The Unsung Life,Increases the Ultimate DMG dealt by 150%.
archer,5,The Nameless Watch,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
archer,6,The Endless Pilgrimage,"When the turn starts, recovers 1 Skill Point for allies. The maximum number of stacks allowed for the DMG boost effect provided by this unit's Skill increases by 1. The Skill DMG dealt ignores 20% of DEF."
argenti,1,A Lacuna in Kingdom of Aesthetics,Each stack of Apotheosis additionally increases CRIT DMG by 4%.
argenti,2,Agate's Humility,"If the number of enemies on the field equals to 3 or more when the Ultimate is used, ATK increases by 40% for 1 turn(s)."
argenti,3,Thorny Road's Glory,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
argenti,4,Trumpet's Dedication,"At the start of battle, gains 2 stack(s) of Apotheosis and increases the maximum stack limit of the Talent's effect by 2."
argenti,5,"Snow, From Somewhere in Cosmos","Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
argenti,6,"""Your"" Resplendence","When using Ultimate, ignores 30% of enemy targets' DEF."
arlan,1,To the Bitter End,"When HP percentage is lower than or equal to 50% of Max HP, increases DMG dealt by Skill by 10%."
arlan,2,Breaking Free,Using Skill or Ultimate removes 1 debuff from this unit.
arlan,3,Power Through,"Skill Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
arlan,4,Turn the Tables,"When struck by a killing blow after entering battle, instead of becoming knocked down, Arlan immediately restores his HP to 25% of his Max HP. This effect is automatically removed after it is triggered once or after 2 turn(s) have elapsed."
arlan,5,Hammer and Tongs,"Ultimate Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
arlan,6,Self-Sacrifice,"When the current HP percentage drops to 50% or below, Ultimate deals 20% more DMG, and the DMG multiplier for adjacent targets is raised to the same level as that for the primary target."
ashveil,1,Beware: Venture Not at Full Moon,"While Ashveil is on the field, increases DMG taken by all enemies by 24%. When an enemy target's current HP percentage is 50% or lower, the DMG they take increases to 36%."
ashveil,2,Knock: Where Snickers Echo,"The max stack limit of ""Gluttony"" increases to 18. After each time Ashveil launches the enhanced Talent's Follow-Up ATK, refunds 35% of the removed ""Gluttony"" stacks."
ashveil,3,Hush: Unsaid Between Friends,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
ashveil,4,Heed: Swallow Truth Whole,"When Ashveil uses Ultimate, increases ATK by 40% for 3 turn(s)."
ashveil,5,Caution: Sleuth Turns Slayer,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
ashveil,6,Finale: And Then There Were None,"When the ""Bait"" exists on the field, reduces all enemies' All-Type RES by 20%. For every 1 stack of ""Gluttony"" Ashveil has gained, the DMG dealt increases by 4%. This effect can stack up to 30 time(s)."
asta,1,Star Sings Sans Verses or Vocals,"When using Skill, deals DMG for 1 extra time to a random enemy."
asta,2,Moon Speaks in Wax and Wane,"After using her Ultimate, Asta's Charging stacks will not be reduced in the next turn."
asta,3,Meteor Showers for Wish and Want,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
asta,4,Aurora Basks in Beauty and Bliss,Asta's Energy Regeneration Rate increases by 15% when she has 2 or more Charging stacks.
asta,5,Nebula Secludes in Runes and Riddles,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
asta,6,Cosmos Dreams in Calm and Comfort,Charging stack(s) lost in each turn is reduced by 1.
aventurine,1,Prisoner's Dilemma,"Increases CRIT DMG by 20% for ally targets with Fortified Wager. After using the Ultimate, provides all allies with a Fortified Wager shield, whose Shield Effect is equal to 100% of the one provided by the Skill, lasting for 3 turn(s)."
aventurine,2,Bounded Rationality,"When using the Basic ATK, reduces the target's All-Type RES by 12% for 3 turn(s)."
aventurine,3,Droprate Maxing,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
aventurine,4,Unexpected Hanging Paradox,"When triggering his Talent's Follow-Up ATK, first increases Aventurine's DEF by 40% for 2 turn(s), and additionally increases the Hits Per Action for his talent's Follow-Up ATK by 3."
aventurine,5,Ambiguity Aversion,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
aventurine,6,Stag Hunt Game,"For every teammate that holds a Shield, the DMG dealt by Aventurine increases by 50%, up to a maximum of 150%."
bailu,1,Ambrosial Aqua,"If the target ally's current HP is equal to their Max HP when Invigoration ends, regenerates 8 extra Energy for this target."
bailu,2,Sylphic Slumber,"After using her Ultimate, Bailu's Outgoing Healing increases by an additional 15% for 2 turn(s)."
bailu,3,Omniscient Opulence,"Skill Lv. +2, up to a maximum of Lv. 15. Talent Lv. +2, up to a maximum of Lv. 15."
bailu,4,Evil Excision,Every healing provided by the Skill makes the recipient deal 10% more DMG for 2 turn(s). This effect can stack up to 3 time(s).
bailu,5,Waning Worries,"Ultimate Lv. +2, up to a maximum of Lv. 15. Basic ATK Lv. +1, up to a maximum of Lv. 10."
bailu,6,Drooling Drop of Draconic Divinity,Bailu can heal allies who received a killing blow 1 more time(s) in a single battle.
black_swan,1,Seven Pillars of Wisdom,"While Black Swan is active in combat, enemies afflicted with Wind Shear, Bleed, Burn, or Shock will have their corresponding Wind, Physical, Fire, or Lightning RES respectively reduced by 25%."
